Model,Group,mn_ksn,std_ksn,stde_ksn,mn_ksnqr,std_ksnqr,stde_ksnqr,mn_ksnqp,std_ksnqp,stde_ksnqp,mn_E,std_E,stde_E,p25_E,p75_E,mn_R,mn_P,cr,sr,U,perc_E_std,perc_U,int_qrt_E
gc1u_10l,gcu_10l,264.9796871464471,31.781392529618923,3.178139252961892,261.0703337795325,49.05900265003188,4.905900265003188,306.9488641535235,51.005159512516215,5.100515951251621,992.0414824333055,99.40280720721138,3.2969829994149626,997.6125483556189,1005.7383237718113,3.215169998419931,4.199875313027206,0.7993215065298547,0.7993215065298547,1000,10.020025267833917,-0.7958517566694467,8.125775416192482
gc2u_10l,gcu_10l,298.1602889446694,26.221112732732447,2.622111273273245,327.0955163441489,45.108632573538834,4.510863257353884,372.71612216696826,46.3027673210173,4.63027673210173,1978.2324019892565,198.44213331734957,6.58191009184572,1990.087198362744,2008.61305215858,3.8046323556858375,4.760591272208196,0.8373652810030419,0.8373652810030419,2000,10.031285157284938,-1.088379900537177,18.525853795836156
gc4u_10l,gcu_10l,335.7983537185022,24.771553058548374,2.4771553058548372,408.7778091114097,47.886505026809935,4.788650502680993,453.92375163299994,48.52179867565324,4.852179867565324,3960.4178666463863,396.7670697021688,13.159933006809899,3982.8297321812447,4016.8208026786488,4.5603163417601005,5.479422705405553,0.8798950317387502,0.8798950317387502,4000,10.018313295767053,-0.9895533338403425,33.99107049740405
gc8u_10l,gcu_10l,385.7918119312228,18.370043214542243,1.8370043214542242,532.9745767317622,40.63353668498325,4.0633536684983245,576.4670594303631,40.747975534280265,4.074797553428026,7911.643250545561,791.6824946877337,26.258450835083906,7975.128112554103,8007.433984751241,5.628880640990922,6.49587617118554,0.9268232010021579,0.9268232010021579,8000,10.006549456500604,-1.1044593681804826,32.30587219713834
gc025l_10l,gcl_10l,168.6181621250752,0.6312849214808327,0.06312849214808328,123.05653581984606,0.5186855041300217,0.05186855041300217,162.04540375992588,0.6436288092953429,0.0643628809295343,246.06831915311244,25.606630951100072,0.8493183370775587,244.82230573091786,250.3594138433755,1.455278969831911,2.5258091508963405,0.4882175893226682,0.4882175893226682,250,10.406309531933983,-1.5726723387550237,5.537108112457645
gc05l_10l,gcl_10l,188.38884461218578,0.5194947870021152,0.051949478700211514,149.70798040551645,0.48454859549754237,0.04845485954975424,190.04364470482614,0.5761689285752536,0.05761689285752536,495.75579828041356,49.770485306996164,1.650782795175367,497.1280795569328,503.39287330709794,1.7240022309971355,2.7814275449824137,0.5085693604519261,0.5085693604519261,500,10.039314815808682,-0.8488403439172885,6.264793750165154
gc1l_10l,gcl_10l,212.20564854117092,0.47320510641593877,0.04732051064159388,184.9759861330604,0.4761677544765948,0.04761677544765948,226.54469730923054,0.5524837192616661,0.055248371926166606,986.6756625513744,98.7789718955802,3.276291688226987,993.0957878160826,1000.0457388100133,2.076299471506763,3.1165442537836547,0.5318786839749372,0.5318786839749372,1000,10.011291009261814,-1.3324337448625556,6.949950993930656
gc2l_10l,gcl_10l,241.56486046620594,0.7775697419035498,0.07775697419035497,233.36160575791706,0.8742788044484583,0.08742788044484583,275.9192467307463,0.9849425322003952,0.09849425322003952,1979.4576332174483,198.48412559898912,6.583302887910158,1988.9213986800771,2009.134979965529,2.5465742436885836,3.5638850664958053,0.5587050952327571,0.5587050952327571,2000,10.027197464002764,-1.0271183391275827,20.213581285451937
gc4l_10l,gcl_10l,282.2090088393621,5.830153917638039,0.5830153917638039,311.86023021082286,10.091722311952175,1.0091722311952176,354.5741072972985,10.366108467086105,1.0366108467086106,3963.181089962005,396.8595604832112,13.163000732372858,3988.0779101860753,4017.076885052939,3.2318782123104732,4.215768714976214,0.5914976293654124,0.5914976293654124,4000,10.013662042554202,-0.9204727509498754,28.99897486686359
gc8l_10l,gcl_10l,336.38606196316016,11.592032899474384,1.1592032899474385,432.2393893597398,22.662847216153907,2.2662847216153907,474.2473411605069,23.065449889762984,2.3065449889762983,7920.54863687526,792.8241084492549,26.296315773402878,7978.699293963472,8023.091807127821,4.256974047533655,5.190873549771148,0.6298761202022273,0.6298761202022273,8000,10.009712013611628,-0.9931420390592506,44.39251316434911
