snowP_left,snowP_right,relationship,param1,param2
0.0,0.05,linear,1.2868450162785539,-0.18134686406072886
0.05,0.1,linear,1.148249839319324,-0.147854953505444
0.1,0.15000000000000002,linear,0.9932790384816346,0.028231851640662713
0.15000000000000002,0.2,linear,1.1038510533988626,-0.16732587071802665
0.2,0.25,linear,1.4995544379298686,-0.6030268851847198
0.25,0.30000000000000004,linear,2.0499954575527246,-1.127146318858428
0.30000000000000004,0.35000000000000003,linear,2.180510900085686,-0.9728772261714439
0.35000000000000003,0.4,linear,2.159985223898466,-0.7802164331696239
0.4,0.45,linear,2.079577126767126,-0.5792656666724566
0.45,0.5,linear,2.3264887367815983,-0.6381615008160061
0.5,0.55,linear,2.259305986982904,-0.48562954464141
0.55,0.6000000000000001,linear,2.4999723077408285,-0.48692813424380593
0.6000000000000001,0.65,linear,2.5095600943364627,-0.4574396659328958
0.65,0.7000000000000001,linear,2.3754282890218037,-0.36875109940536516
0.7000000000000001,0.75,linear,2.762844829856303,-0.372365281749506
0.75,1.0,linear,2.494443456657205,-0.20847288699177408
