STAID,FullComp,FullLen,FullStartY,FullStartM,FullStartD,FullStopY,FullStopM,FullStopD,FullMeanR,FullRC1,FullRS1,FullRC5,FullRS5,Full2_5,Full5,Full10,SlicedComp,SlicedLen,SlicedStartY,SlicedStartM,SlicedStartD,SlicedStopY,SlicedStopM,SlicedStopD,SlicedMeanR,SlicedRC1,SlicedRS1,SlicedRC5,SlicedRS5,Sliced2_5,Sliced5,Sliced10
5384500.0,1.0,13544.0,1942.0,9.0,1.0,1979.0,9.0,30.0,0.39369624265006326,0.21987464425808836,0.002170613535253143,0.24682527085941391,0.004821834784927567,14.301981086477403,19.093144750447333,24.742427279605902,0.0,0.0,,,,,,,,,,,,,,
11142500.0,1.0,10591.0,1950.0,10.0,1.0,1979.0,9.0,29.0,1.2467571382910632,0.28406728561621947,0.10422470362891731,0.281011637297283,0.10033765983398282,87.31058643094855,105.8726796091817,162.24644407640832,0.0,0.0,,,,,,,,,,,,,,
10324500.0,0.7899602994857584,29648.0,1918.0,4.0,1.0,2020.0,12.0,31.0,0.04313325475165245,0.4298377220001718,0.019341685566346845,0.3805090660596317,0.0115082487596376,1.7565011387819562,2.074866970186186,2.41518906582519,1.0,7305.0,1980.0,1.0,1.0,1999.0,12.0,31.0,0.05998007154052784,0.584366444376477,0.06748227447486951,0.43455198437487474,0.025724931206176176,1.9101949884253775,2.085845102303573,2.426167197942577
2130910.0,1.0,22007.0,1960.0,10.0,1.0,2020.0,12.0,31.0,1.1514216370172075,0.6026433211984579,0.2921602362455552,0.8154589406178671,0.6194960836579716,6.363670295787587,7.443221506680124,10.227327261087193,1.0,7305.0,1980.0,1.0,1.0,1999.0,12.0,31.0,1.179881532442629,0.7329931334237706,0.5225129625261202,0.7573108458025196,0.564315478823427,6.363670295787587,7.329584537112488,8.011406354518302
3223425.0,1.0,8858.0,1996.0,10.0,1.0,2020.0,12.0,31.0,1.1566970112155703,0.4075502608885478,0.29763034761494483,0.448781372561495,0.4388226618663278,30.373933700178043,44.067100532225524,51.287133952759646,0.16249144421629022,1187.0,1996.0,10.0,1.0,1999.0,12.0,31.0,0.9356316364897531,,,,,,,
3331753.0,0.9974536709577027,7051.0,2001.0,8.0,25.0,2020.0,12.0,31.0,1.0366389689460027,0.7043690303981464,0.47544146115912456,0.7879316920696005,0.6115008336914326,7.669578673150074,7.910192906033215,8.381395778762696,0.0,0.0,,,,,,,,,,,,,,
1421610.0,1.0,7448.0,2000.0,8.0,11.0,2020.0,12.0,31.0,1.746477097898826,0.46842944259748015,0.3745640157307293,0.5441269187074088,0.6190999380199934,23.994925886131778,27.395781523536282,30.985573585241035,0.0,0.0,,,,,,,,,,,,,,
10320000.0,0.9199317923455854,24277.0,1948.0,10.0,1.0,2020.0,12.0,31.0,0.09717255077948185,0.7873378367487893,0.12028555110408416,0.7866781618849502,0.1221380020312267,1.3247914233347085,1.7918653225873298,1.8852801024378543,0.7107460643394935,5192.0,1980.0,1.0,1.0,1999.0,12.0,31.0,0.09917876552858582,1.573555988976894,0.337755951103103,0.8697673833318585,0.15001027563640343,1.1379618636336597,1.188915379915764,1.273837907052604
9118450.0,1.0,14337.0,1981.0,10.0,1.0,2020.0,12.0,31.0,0.11603031163436082,0.431469981358622,0.015472180848311515,0.6140042341191495,0.05126838703997939,1.4009493807606153,1.797177488450486,2.272651217678331,0.9125256673511294,6666.0,1981.0,10.0,1.0,1999.0,12.0,31.0,0.13516047072233342,0.3502496476156812,0.007329428064555199,0.5508594692014998,0.04439215251589948,1.9160459207574474,2.272651217678331,2.677369927675842
2143040.0,1.0,21642.0,1961.0,10.0,1.0,2020.0,12.0,31.0,1.7605079433642972,0.395904875118501,0.26936338519080477,0.418045202186885,0.33377063481415353,34.03945273580661,47.10324270468374,52.25515987550851,1.0,7305.0,1980.0,1.0,1.0,1999.0,12.0,31.0,1.80225291366627,0.4113080092106752,0.2960339485204224,0.4375522929973004,0.37177387127823225,31.389895333668143,40.84734328296793,47.10324270468374
8110325.0,1.0,15555.0,1978.0,6.0,1.0,2020.0,12.0,31.0,0.5073558584442743,0.3528293422174608,0.1668933102171173,0.25799167797660755,0.029957464909190323,38.85540332139399,48.027955473252966,57.47607786143387,1.0,7305.0,1980.0,1.0,1.0,1999.0,12.0,31.0,0.42577362121815643,0.3328470727996728,0.10587503154470172,0.25790646091213537,0.02471251970377804,31.80867870687573,45.66592487620775,52.752016667343426
10336676.0,1.0,17624.0,1972.0,10.0,1.0,2020.0,12.0,31.0,2.570067287432304,0.4585577208000244,0.7288728468673649,0.6173630923490637,1.967166016479887,43.15733645103419,66.4187448592751,77.60401783855689,1.0,7305.0,1980.0,1.0,1.0,1999.0,12.0,31.0,2.8479846083290448,0.3853019086588753,0.3805327638121102,0.5898206630398719,1.8437133251935274,51.27408321476081,70.18016409124597,135.60906178421294
