,GRDC_NO,P_MN_RASTER,P_MN_UPRASTER,P_STD_RASTER,P_STD_UPRASTER,PC_MN_RASTER,PC_MN_UPRASTER,PC_STD_RASTER,PC_STD_UPRASTER,PS_MN_RASTER,PS_MN_UPRASTER,PS_STD_RASTER,PS_STD_UPRASTER,R_MN_RASTER,R_MN_UPRASTER,R_STD_RASTER,R_STD_UPRASTER,RC1_MN_RASTER,RC1_MN_UPRASTER,RC1_STD_RASTER,RC1_STD_UPRASTER,RC5_MN_RASTER,RC5_MN_UPRASTER,RC5_STD_RASTER,RC5_STD_UPRASTER,RS1_MN_RASTER,RS1_MN_UPRASTER,RS1_STD_RASTER,RS1_STD_UPRASTER,RS5_MN_RASTER,RS5_MN_UPRASTER,RS5_STD_RASTER,RS5_STD_UPRASTER,R2_5_MN_RASTER,R2_5_MN_UPRASTER,R2_5_STD_RASTER,R2_5_STD_UPRASTER,R5_MN_RASTER,R5_MN_UPRASTER,R5_STD_RASTER,R5_STD_UPRASTER,R10_MN_RASTER,R10_MN_UPRASTER,R10_STD_RASTER,R10_STD_UPRASTER,QS_MN_RASTER,QS_MN_UPRASTER,QS_STD_RASTER,QS_STD_UPRASTER,QSM_MN_RASTER,QSM_MN_UPRASTER,QSM_STD_RASTER,QSM_STD_UPRASTER,QSB_MN_RASTER,QSB_MN_UPRASTER,QSB_STD_RASTER,QSB_STD_UPRASTER,MAT_MN_RASTER,MAT_MN_UPRASTER,MAT_STD_RASTER,MAT_STD_UPRASTER
421,3206080,,3.71590802785373,,0.0,,0.8362786612602638,,0.0,,3.8532723794391344,,4.440892098500626e-16,,2.158462555021935,,0.0,,0.6348363067200864,,0.0,,0.6444735398539334,,0.0,,1.274371964158218,,2.220446049250313e-16,,1.3106094874092165,,0.0,,26.07688426792265,,0.0,,29.786826752342684,,3.552713678800501e-15,,38.81613573923913,,7.105427357601002e-15,,1.6177065899169214,,2.220446049250313e-16,,0.0,,0.0,,0.5407559651050142,,0.0,,15.077589988708496,,0.0
422,3206100,,4.981953089105509,,0.48293833967400185,,0.6717155340082117,,0.002175589733821978,,3.4292068489344256,,0.5250412253015239,,2.5845637719725345,,0.5982680857519187,,0.5655207979604584,,0.04147999818396933,,0.600158349228299,,0.004920751822308575,,1.3806462380811375,,0.5958976896493358,,1.5652874943364976,,0.3942235064381112,,38.557390201329355,,6.589915508891493,,46.84015852259701,,11.949119163407845,,57.33978841315133,,8.576121252920194,,2.1187486268612834,,0.34112846161867516,,9.588140457719963e-07,,9.141933226868095e-07,,0.4658141862972052,,0.3017293795512989,,14.747101344759502,,5.050808235765753
423,3206150,5.480296928703417,5.1519165106878715,0.0,0.42542683850775365,0.6693062439664537,0.6699799550084014,0.0,0.013909634194879431,3.5193214511272943,3.3435604297450983,0.0,0.39231595813704045,3.22828061088796,3.0949560572443024,0.0,0.16397225589809963,0.5776077194362637,0.5855074364835672,0.0,0.014189541589951588,0.6128076349300066,0.6215374149696831,0.0,0.026054875867819988,1.5728766733090225,1.5285110353703557,0.0,0.1145356893137063,1.8384528693694588,1.7940665839911523,0.0,0.1912300165659613,42.27736507118607,39.13993934101004,0.0,3.5179257103886994,46.74904018457937,46.52812144539683,0.0,2.685011413021042,67.67193154644247,61.33150398241052,0.0,6.77020138598985,2.585077742429148,2.5436803880930694,0.0,0.0811068472479152,0.0,0.0,0.0,0.0,0.643202868458812,0.5512756691512324,0.0,0.17747773365260025,19.6031436920166,18.820487637386144,0.0,3.417033369377122
424,3268100,2.5075920030070997,2.428390449299204,0.42811883658328115,0.44381686944280546,0.7841629479838659,0.7696188070461519,0.043580225154406314,0.06297368879371361,3.018569181397255,2.7803319133554005,0.7046200633055115,0.7585583029483289,0.36217841602989703,0.3677441481950228,0.07917568655112106,0.11318812512304223,0.40408298878444754,0.40206380638354944,0.0605348954223716,0.05711751540938007,0.3436007071706269,0.3479727103647098,0.05323537197694035,0.06158247796302429,0.16427542004119308,0.1609653322729169,0.14185520282429012,0.13554819943091387,0.0829977188467118,0.09347942601822959,0.07520683165130443,0.09177523087032691,16.13560521036561,16.4515231821739,2.853939981327996,5.434470587372902,20.349714614198433,20.8266070672873,3.4773429228271984,6.072665833366522,27.237212979207875,27.246714412075182,7.267061512945419,8.390414515177179,0.2832518709405152,0.29102066020509787,0.07833090697565519,0.09858825213217863,0.00030284685817084993,0.0003474735931847064,0.0005346729176882457,0.0006611008597128379,0.07862369823121097,0.07637601439674016,0.03868957034225756,0.037114105608383435,12.415198871067592,11.945391723087855,4.367249997460403,4.154426391531474
425,3274100,2.136934918448696,2.112513483435396,0.6157071383706586,0.5727820338356849,0.7037022903166543,0.7016120295330206,0.046216977300663376,0.056676558994022144,2.884411433014388,2.85417539615847,1.189235352817734,1.2194290368440952,0.5200862685159064,0.4935122496708605,0.4131947647266399,0.3797528915246942,0.4256897401559672,0.43262804430952473,0.10482172303639853,0.1056225320836214,0.35820407942879035,0.3612068845427012,0.03461532137929585,0.03717435362729606,0.47535250456947037,0.44615822863876864,0.4582994531952372,0.4296752346863512,0.1646469162274855,0.1568632232744186,0.1466511753164087,0.13618533785051407,18.8565006944863,18.039897677184058,12.20701521864598,11.206527899989037,25.923075379896687,24.3098061836708,16.578676553979932,15.258503104916027,31.093089224931703,29.057098501528248,20.61061404585729,18.969826571883885,0.47258160807441146,0.4438954801402173,0.3771376427516128,0.3462374847539378,0.00805334096358075,0.0063918802436860635,0.00754458828417165,0.007392391786109583,0.0394513194779142,0.043224889286957106,0.0285125336908554,0.03058128586069597,10.134612798690796,10.839237598419189,2.392639398574828,2.5208742610427253
426,3274110,2.0594181070613717,2.0773388189997366,0.0,0.13853062166493413,0.6439066800389371,0.6558333481859672,0.0,0.04734665076758499,2.228187968237098,2.384370814272973,0.0,0.6794793371604575,0.4538002137573947,0.45691756647719206,0.0,0.06302087880732615,0.464935131900751,0.4701925308190967,0.0,0.04210714048153269,0.3775993747596931,0.37859890625511206,0.0,0.020097104530520757,0.3001068238188311,0.3244704192795987,0.0,0.12361647331308123,0.1316984445722328,0.1366377526053983,0.0,0.03217225733100066,18.37869221610333,18.129897306295994,0.0,1.8887938110844884,22.609236863502247,22.218777814991817,0.0,2.284411597838609,26.99942962003377,26.478337512753086,0.0,2.7768558671473995,0.3950704166925689,0.3961605757418505,0.0,0.05151725943310991,0.000326894895815,0.00032663391178049583,0.0,3.5163190448694306e-05,0.0584029021690107,0.060430356823561,0.0,0.01298239752077363,13.46410846710205,13.497869200176662,0.0,0.16239344483043414
427,3274120,,3.4308863057968852,,0.2313076817783233,,0.7458677059873215,,0.03170285408278542,,5.656585429340779,,0.2908720823659184,,1.2755922037111302,,0.2685009245208701,,0.592412490579441,,0.02209008516698843,,0.4296277922921706,,0.012020260163786371,,1.6514735441642827,,0.4679520782818765,,0.5556200711910975,,0.13518829719031272,,41.59131784398084,,10.071743869137423,,45.71163863869761,,10.509148252431686,,48.96395096025685,,11.036888345111743,,1.1265533943555388,,0.2666774329744426,,0.010271419635369162,,0.012766433044898308,,0.13876738972022212,,0.012736803899945186,,10.337702486250135,,3.087850272006831
428,3274130,2.2212698480796,2.4061109980711732,0.4092911178384845,0.3651752571180977,0.8271122939612602,0.8281590696707443,0.0023178604995720553,0.002068027540800742,4.065962810181198,4.260032357571267,0.4297254263637196,0.38340703285059224,0.4444153791895365,0.5361889734778338,0.20321295878122939,0.18130944268853919,0.5628142819959339,0.5877083493313149,0.05512257767120082,0.049181134397440276,0.4167223126108416,0.435108493342299,0.040712257333941654,0.03632404514003453,0.5086109354053074,0.6485013302409948,0.3097573028504505,0.276369795929116,0.19549492192555598,0.25549117657489573,0.1328488495806808,0.11852960078799699,13.58074872559456,15.837098306576765,4.9962026436034535,4.45768184422706,16.17966775597779,18.653347478559205,5.477433671430276,4.887042894737848,17.15824070984695,19.359546932364427,4.8743209212886995,4.348937267703289,0.37710301602435903,0.4661566384821915,0.197190164013772,0.1759358209999207,0.000633480676870316,0.0009148944966174184,0.0006231306008685839,0.0005559658332975038,0.06667888248830725,0.0691174404990248,0.005399664166588852,0.004817655855321026,13.134961605072021,12.048752369419221,2.405177593231202,2.1459330724335266
429,3274140,2.0029838103459423,2.005031088647722,0.3418434349369765,0.3154186547713284,0.8196214535327976,0.8017598900807676,0.00999563563425317,0.042399596762050414,3.7470815369345125,3.569641839553254,0.3898094039466475,0.5721989834096023,0.3331532403817368,0.3135979507303232,0.1994627533706307,0.18209468801741885,0.5427454388020164,0.5212981354505845,0.08165892567673771,0.08231585341523956,0.37942223034818107,0.37708913513117837,0.04750617328101795,0.04307350254539003,0.4296563092202444,0.36079195165496475,0.3283314324633751,0.3051083503284567,0.12763815978683798,0.11338415101705539,0.1208643041905327,0.10833006271780914,11.459403626812303,11.145271999002226,5.505437711290016,5.231724683311744,13.497549266272557,13.167818998319198,6.496009631173543,6.100715726680021,14.8094439639479,14.590596302998897,6.69236578180006,6.570302608064163,0.28527710795628036,0.26525989666387867,0.18565402262287767,0.1689883849198699,0.0003930835021975965,0.000304074726290192,0.000550329027520032,0.0004979137490710717,0.04748304892325885,0.048033979340154284,0.018323970372870604,0.018885250139007864,14.163513024648031,14.337348027157903,2.2923587215111025,2.1021089761289153
430,3275130,1.9939075619710422,2.0805457551650703,0.7451118111953654,0.9266613756052969,0.41292939549509505,0.4140542953947138,0.01457047984470834,0.021322136126566187,0.8452668397805354,0.87757585957532,0.3771773618605129,0.4328435101440171,2.4142361182687124,2.4966350880743513,1.0697773482000852,1.252899241927062,0.6540190994056879,0.6622777312555584,0.1357984854241792,0.15733475047171108,0.5483846477081546,0.5502627654484074,0.06798547043905093,0.08184564712679958,3.0494386837602594,3.30595387755546,1.9508863668467524,2.4803185280719693,1.8159415511986492,1.9006343018644247,1.241289626782048,1.3877223528403315,46.530889232077044,46.44456124216047,17.30830556192077,18.861644326662752,52.63974213161049,52.45289734507757,16.674940629950328,18.922455959445305,59.39185017389548,57.85970940972724,20.02645550742305,20.79400500098547,1.4173567737162758,1.4980717773572667,0.7237775178394522,0.8781292436801128,0.8864642884305174,0.8754143223942504,0.3265587044948691,0.34066790231972044,0.11041505612191903,0.12314898832283418,0.04243163960390691,0.062233500525624104,-4.096273322900136,-3.6562771954328146,2.129238051887768,2.2381047559673526
