STAID
1052500
1054200
1078000
1134500
1137500
1362200
1365000
1413500
1414500
1415000
1435000
1605500
1606500
2011400
2011460
2014000
2017500
2018000
2027000
2027500
2053800
2056900
2059500
2111180
2178400
3161000
3164000
3186500
3439000
3455500
3456500
3460000
3463300
3471500
3479000
3498500
3500000
3500240
3504000
6191500
6224000
6278300
6289000
6311000
6354000
6404000
6406000
6422500
6431500
6447000
6450500
6452000
6622700
6623800
6846500
7083000
7105945
7208500
7226500
8267500
8269000
8271000
8324000
8377900
8378500
8380500
9034900
9035800
9035900
9047700
9065500
9066000
9066200
9066300
9081600
9223000
9306242
9312600
9352900
9378630
9404450
9430500
9430600
9492400
9494000
9497980
9505350
9505800
9508300
9512280
9513780
10109001
10172200
10172700
10172800
10173450
10205030
10234500
10242000
10244950
10249300
10258500
10259000
10259200
10263500
10316500
10329500
10336645
10396000
11015000
11098000
11124500
11143000
11148900
11151300
11162500
11176400
11224500
11230500
11237500
11253310
11264500
11266500
11274500
11274630
11315000
11381500
11383500
11451100
11468500
11473900
11475560
11476600
11478500
11480390
11481200
11482500
11522500
11523200
11528700
11532500
12010000
12020000
12025700
12040500
12041200
12048000
12054000
12056500
12082500
12092000
12114500
12115000
12115500
12117000
12145500
12147500
12147600
12167000
12175500
12178100
12186000
12189500
12358500
12390700
12411000
12413000
12414500
12447390
12451000
12488500
13011500
13011900
13018300
13023000
13083000
13161500
13185000
13235000
13240000
13313000
13331500
13337000
13338500
13340000
13340600
14020000
14137000
14138870
14138900
14139800
14141500
14154500
14158790
14182500
14185000
14185900
14222500
14236200
14301000
14305500
14306500
14309500
14316700
14325000
14400000
1350000
6280300
6632400
9210500
10308200
14158500
