GRDC_NO,full_completeness,full_discharge,full_reported_runoff,full_hydrosheds_runoff,full_reported_c1,full_reported_s1,full_reported_c5,full_reported_s5,full_hydrosheds_c1,full_hydrosheds_s1,full_hydrosheds_c5,full_hydrosheds_s5,full_reported_2_5flood,full_reported_5flood,full_reported_10flood,full_hydrosheds_2_5flood,full_hydrosheds_5flood,full_hydrosheds_10flood,sliced_completeness,sliced_discharge,sliced_reported_runoff,sliced_hydrosheds_runoff,sliced_reported_c1,sliced_reported_s1,sliced_reported_c5,sliced_reported_s5,sliced_hydrosheds_c1,sliced_hydrosheds_s1,sliced_hydrosheds_c5,sliced_hydrosheds_s5,sliced_reported_2_5flood,sliced_reported_5flood,sliced_reported_10flood,sliced_hydrosheds_2_5flood,sliced_hydrosheds_5flood,sliced_hydrosheds_10flood
1104450,0.9996577686516085,3.436413043478261,0.15528561033290886,0.1461943409111831,0.29590175603041075,0.013948761177262547,0.29761953277335557,0.014114577484659193,0.2959017560304109,0.013132124364038648,0.297619532773355,0.013288232877378585,10.497238493723849,12.874142259414224,14.230694560669457,9.882672706681767,12.1204195184401,13.397551824314343,0.783025325119781,3.428173951048951,0.15491329988003627,0.14584382754967226,0.2966630388766565,0.01433670346926693,0.29495479902202953,0.013596139077432914,0.29666303887665646,0.013497354391273982,0.29495479902202903,0.01280014669163993,10.497238493723849,12.874142259414224,14.230694560669457,9.882672706681767,12.1204195184401,13.397551824314343
1104600,1.0,2.862917026793431,0.05740450942560977,0.061304129251022944,0.4886178160384564,0.02561138395351802,0.4604810670340036,0.021196892951504148,0.4886178160384568,0.02735122393509367,0.46048106703400393,0.022636846446759944,1.2814629844511487,1.426833139939661,1.869560454861917,1.3685157005130237,1.5237611836724576,1.996563979280775,0.47515400410677616,2.862917026793431,0.05740450942560977,0.061304129251022944,0.4886178160384564,0.02561138395351802,0.4604810670340036,0.021196892951504148,0.4886178160384568,0.02735122393509367,0.46048106703400393,0.022636846446759944,1.2814629844511487,1.426833139939661,1.869560454861917,1.3685157005130237,1.5237611836724576,1.996563979280775
1104800,0.9198335341145548,3.0123701631146567,0.4715014168353376,0.4720144760484337,0.24854157537495872,0.011957464945106177,0.31415091029996633,0.05026589164844574,0.24854157537495847,0.011970476332423994,0.3141509102999666,0.050320587939684684,29.786086956521743,33.85502608695652,52.606956521739136,29.81849836779108,33.891865070729054,52.66420021762786,0.8997946611909651,2.9856306100715044,0.46731609548945297,0.46782460048998553,0.26100302322666136,0.014643495440228787,0.3422633814221239,0.07018219152052878,0.26100302322666113,0.014659429602840527,0.3422633814221235,0.07025855952000679,24.26086956521739,33.307826086956524,51.839999999999996,24.287268770402612,33.344069640914036,51.89640914036997
1107800,0.9995893223819302,0.6390298548342919,0.04938477590132632,0.044307984477716736,0.19390238256283565,0.00011839459567037922,0.33249923041574564,0.005107201120458219,0.1939023825628357,0.00010622354382431937,0.33249923041574575,0.0045821770746106265,2.2210518783542037,2.8431627906976744,14.320143112701254,1.9927261054490009,2.550883556696894,12.848021828103684,0.9828884325804244,0.6321749303621169,0.04885502145195608,0.04383268917686133,0.1910410804695556,0.00010322146867272072,0.33035164943314416,0.004948691674432436,0.19104108046955598,9.261022548439448e-05,0.33035164943314416,0.00443996251666437,2.2210518783542037,2.8431627906976744,14.320143112701254,1.9927261054490009,2.550883556696894,12.848021828103684
1134150,0.39773171685569025,7.759750901343821,0.2198172058610184,0.21357792930333733,1.0360486027568434,0.5185917190804233,0.7392366506560055,0.26076588866363504,1.0360486027568434,0.5038720471457717,0.7392366506560033,0.25336432749007165,3.3993442622950822,3.4276721311475407,3.4276721311475407,3.3028575069287376,3.3303813194864773,3.3303813194864773,0.13648186173853524,5.44332998996991,0.15419793807652463,0.1498211943338537,,,,,,,,,,,,,,
1159601,0.9792379648642482,1.167043465879673,0.042066147455988204,0.042581315646961035,0.29514361583982707,0.004851488289834305,0.27261319136463574,0.0030327368074029204,0.29514361583982685,0.0049109026312216,0.2726131913646334,0.0030698775875610132,3.3946513141426786,4.388521652065082,5.781338673341677,3.4362243243243245,4.4422662162162165,5.852140540540541,0.9835728952772074,0.9074798886569242,0.03271016369626961,0.033110752694239125,0.2377236322199697,0.0012197256815648604,0.2127779086035639,0.0004957551206463548,0.23772363221997037,0.001234663200469181,0.21277790860356463,0.0005018264460259034,3.826579224030038,4.658535168961201,5.1148655819774715,3.8734418918918916,4.715586486486487,5.177505405405405
1159900,0.9516425564855581,5.264636823508478,0.10955313621173711,0.11013137900129111,0.22054744064916604,0.0010324966842592018,0.310916728542301,0.009936716320174989,0.22054744064916595,0.0010379464028483366,0.310916728542302,0.009989164244193252,7.88027514450867,11.358436994219653,13.274864739884393,7.921868771488064,11.418389036850515,13.344932061401387,0.9924709103353867,6.15984124137931,0.12818166745066772,0.12885823525620366,0.19743412069358063,0.0006826084570252689,0.27295647427929554,0.007704074073427148,0.1974341206935806,0.0006862113974066401,0.27295647427929537,0.0077447376768363186,11.358436994219653,13.291512138728322,16.31559537572254,11.418389036850515,13.36166732845867,16.401712265749843
1160200,0.9284908176874936,0.02726977900552486,0.0010030263542262017,0.0010020452116179766,0.16429346709960224,1.5979420173409367e-06,0.13394083624685016,1.508375543337523e-07,0.16429346709960208,1.5963789387716558e-06,0.1339408362468508,1.506900077106319e-07,0.17721379310344826,0.25515402298850576,0.5513931034482759,0.17704044571088334,0.2549044358440012,0.5508537404839876,0.8299794661190965,0.02949249546429161,0.0010847814423647485,0.0010837203283778313,,,,,,,,,,,,,,
1160220,0.934685177087888,1.4237705397345184,0.46420292314363165,0.4247713212467625,0.9279291450139339,1.5136487632601454,0.4031595377697216,0.1519822273022701,0.9279291450139336,1.3850722453865292,0.403159537769722,0.13907213478971586,11.854732075471698,12.159903396226415,12.805132075471697,10.847734806629834,11.126983425414364,11.717403314917126,0.9835728952772074,1.6604200417536532,0.5413595909717572,0.49537393510882477,1.0014930130923405,1.824093388278164,0.44830605886545477,0.24709798830499305,1.0014930130923403,1.6691462289147547,0.44830605886545516,0.2261083111216271,12.045138113207548,12.691996981132075,12.878816603773585,11.021966850828731,11.613878453038673,11.784828729281768
1160300,0.9694785448811803,3.3215886384758355,0.4368116565666853,0.4510928298716006,0.5330091414808088,0.3294612989834219,0.42642220409856413,0.1492697573401257,0.5330091414808085,0.3402327466710286,0.42642220409856413,0.15415000089981565,12.913183561643836,14.595550684931506,15.634586301369863,13.335368751964792,15.07273939012889,16.14574536309337,0.989596167008898,2.9918308203070962,0.39344624486230306,0.4063096241347582,0.6611775973251381,0.535108152549976,0.4215669157821082,0.12711445592178797,0.6611775973251385,0.5526030434224064,0.4215669157821077,0.13127035136846021,9.316076712328766,10.245435616438355,11.340361643835616,9.620657654825525,10.580401131719585,11.711124803520905
1160301,0.9595579497742217,7.253079669762642,0.832225874458821,0.8500625114860176,0.5661319418988302,0.7837563195970345,0.39556427555322815,0.22193374143355427,0.5661319418988303,0.8005541354538336,0.395564275553228,0.22669032460589558,23.98122071713147,27.208886055776894,31.245590438247014,24.495196961475852,27.792039066739015,31.91525990233316,0.9368925393566051,7.982574663939217,0.9159288857428265,0.9355594831312375,0.5308008488601373,0.7655925712936986,0.3632592016277069,0.18007999560610263,0.5308008488601369,0.782001093575902,0.36325920162770653,0.1839395505851805,29.602154581673304,33.29176733067729,33.298996015936254,30.236601193705912,34.0052913727618,34.01267498643516
1160350,0.9629101283880172,0.4928539433551198,0.014683648519269779,0.014661908448122563,0.31679982923258815,0.0020625346734385306,0.2961289755952016,0.0013941415247623707,0.3167998292325888,0.0020594809602905435,0.2961289755952021,0.0013920774099820692,0.8342068965517242,1.1410758620689654,1.7607724137931033,0.8329718004338394,1.1393864270220018,1.7581654787728542,0.9448323066392882,0.638022312373225,0.01900866475484367,0.01898052122337453,0.28303756684489845,0.001191979199871572,0.3032871242908023,0.0017770501361885555,0.2830375668448993,0.001190214399210696,0.3032871242908019,0.001774419100969869,0.9086896551724138,1.7101241379310346,2.0616827586206896,0.9073442826154322,1.7075921908893708,2.058630306786489
1160400,0.9808274000651496,0.7896235232718128,0.4705067062805837,0.4688898447469734,0.2819722856034936,0.03261186073220268,0.28226220501366633,0.03224910153370651,0.2819722856034933,0.032499792482263735,0.28226220501366667,0.03213827987895163,34.46227862068966,41.37129931034483,48.988800000000005,34.343851546391754,41.22912989690722,48.820453608247426,0.988911704312115,0.7853250276854928,0.46794539580707983,0.4663373360276741,0.2826587493503229,0.03187239979616766,0.284708239136988,0.03244229800935159,0.2826587493503233,0.031762872649101936,0.28470823913698845,0.03233081244918214,34.42771862068965,36.95000275862069,44.82849103448276,34.30941030927835,36.823026804123714,44.674441237113406
1160450,0.9818382555892906,0.33486017092094905,0.05531915634334608,0.28226262212263414,0.2227594174207111,0.0006915879041847635,0.27929402675092674,0.0032953719390108323,0.2227594174207103,0.0035287851111085048,0.2792940267509267,0.016814434381489492,3.730728871892925,6.245745315487572,9.773112045889102,19.03581658536585,31.868534634146343,49.86670829268293,0.9975359342915812,0.34021051187045426,0.056203036760243304,0.2867725680547048,0.2247617985810505,0.0008043740202534896,0.2765294120283562,0.003309978612953039,0.2247617985810501,0.0041042693911470165,0.2765294120283558,0.016888964044628543,4.741427151051625,6.514692160611855,9.773112045889102,24.192842926829268,33.240819512195124,49.86670829268293
1160500,0.9712982486337622,0.29108032075137336,0.017004286486084288,0.0173121358249595,0.22801677514919566,0.00043164557738349977,0.21367604543014984,0.0002602843412410648,0.2280167751491954,0.0004394601837614039,0.21367604543014937,0.0002649965861468495,1.8339699797160243,3.713797971602434,4.480356997971602,1.8671725752047912,3.7810333861086254,4.561470365526261,0.9876796714579056,0.23182730422730424,0.013542852660743128,0.013788035441067726,0.19276164596171613,8.306827807843154e-05,0.2140156740062521,0.00020472035290899966,0.1927616459617166,8.457216443725619e-05,0.21401567400625254,0.00020842665516102084,1.712986612576065,3.713797971602434,5.3371716024340765,1.7439988986026023,3.7810333861086254,5.433796929854753
1160550,0.9889109566368752,0.39154066945606697,0.07322319013204369,0.07180877486946335,0.2870018047549127,0.0057457405749251605,0.284531832872759,0.005425105677008538,0.2870018047549135,0.005634753015528453,0.2845318328727586,0.00532031165947343,4.77388051948052,6.8648727272727275,9.39328831168831,4.681665888346424,6.732267459138187,9.211842920823605,0.868309377138946,0.27555273529875457,0.05153194010781902,0.05053652373129355,0.27446351907827915,0.002701489229671272,0.28795350080363774,0.003568504058485933,0.27446351907827965,0.0026493059310298017,0.2879535008036383,0.0034995730737009513,2.6548363636363637,3.3905454545454545,3.730535064935065,2.603554234769688,3.3250520059435362,3.658474209297389
1160600,0.9709038492338904,3.3386224018475747,0.11401461482989347,0.11348531572886557,0.31501340712490783,0.014471720043428062,0.27731187011999636,0.006570809288849377,0.3150134071249081,0.014404536828182055,0.2773118701199972,0.006540305099059395,5.078100237154151,7.383989881422925,9.949933280632411,5.05452576913998,7.349710598788261,9.90374191517822,0.9949349760438057,2.3238395707209683,0.07935958059695325,0.07899116331351472,0.3003065422085906,0.007673982351770753,0.28654785034902563,0.0055196116641512425,0.3003065422085896,0.007638356814060786,0.2865478503490253,0.005493987532576329,4.292679841897233,4.292679841897233,4.292679841897233,4.272751593359037,4.272751593359037,4.272751593359037
1160650,0.9682183885041828,5.034225226342553,0.6083315518265686,0.5954237639370247,0.3209838184987204,0.03189056732922899,0.44365203680735116,0.14415593386649497,0.3209838184987206,0.031213902314029766,0.4436520368073511,0.14109718372969748,10.760002237762237,15.590185174825173,27.889436643356646,10.531692813141683,15.259387268993839,27.29766899383984,0.9797399041752225,5.217706161799636,0.6305032340971868,0.6171249998350289,0.26858008458624677,0.013219746662917472,0.3910724253475653,0.10034342137257826,0.268580084586247,0.012939245535915158,0.3910724253475652,0.09821430017986782,14.622021818181818,28.715130629370627,37.57360783216784,14.311766735112936,28.105843121149896,36.77635811088296
1160680,0.9783919204572145,7.488240057613827,1.1871264972070361,1.1759068356558247,0.5116159101087282,0.4248237828751567,0.6871624388710686,1.0120461672704244,0.5116159101087282,0.42080872713006234,0.687162438871069,1.0024812089465305,17.077713027522936,23.328634128440367,30.34922862385321,16.916309705561613,23.108152671755725,30.0623947655398,0.9553730321697468,6.528872904427568,1.03503599805971,1.0252537603463139,0.5496859684904132,0.5095954046066457,0.6564364603617688,0.8521418493704463,0.5496859684904132,0.5047791630509314,0.6564364603617692,0.8440881641346653,15.421845137614678,19.426524770642203,25.608801467889908,15.276091603053436,19.242922573609597,25.36676990185387
1160700,0.9677477477477477,19.81139871532303,0.9814821381903154,0.9229011964220143,0.6462816328952289,0.8847010216656834,0.5467190225806007,0.5498850684966369,0.6462816328952288,0.8318965772280973,0.5467190225806012,0.5170645168804312,16.639629357798167,20.869563302752294,23.412170642201836,15.64647306842077,19.623938318865584,22.0147870814687,0.9637234770704997,19.225022017045458,0.9524322834132611,0.8955852171632757,0.6164647417256981,0.8582743621400625,0.4880347882851651,0.4393993789049494,0.6164647417256981,0.8070472246575009,0.48803478828516517,0.413173298544364,17.092139449541282,23.886677064220184,27.76189541284404,16.071974551140343,22.460972017037793,26.104893298107513
1160710,0.9957844271780459,2.011600481447663,0.4854812335113914,0.4838593585664758,0.38646182313942024,0.057440591659160024,0.5216685920165919,0.1867892571914026,0.3864618231394209,0.057248696586802546,0.5216685920165921,0.18616523962840228,6.696,8.776598882681563,11.41976312849162,6.673630289532294,8.747278396436526,11.381612472160356,1.0,1.8689608487337444,0.4510564729904901,0.4495496028134618,0.25869034739352353,0.007862937389758122,0.4372606766833754,0.12385165959111373,0.25869034739352376,0.00783666922475897,0.43726067668337465,0.12343790126285771,11.281474860335194,14.779950837988828,53.59382346368716,11.243786191536747,14.73057461024499,53.41477951002227
1160720,0.9877610446335138,2.287902901888531,0.6611197683049131,0.6593556061479955,0.3984848137548262,0.10072280855618432,0.5228376500904666,0.2845003000672223,0.3984848137548264,0.10045403521780888,0.5228376500904662,0.28374112648465455,11.557661538461538,14.79520535117057,20.826156521739133,11.526820547031354,14.755725150100067,20.77058305537025,1.0,2.396571252566735,0.6925209238186151,0.6906729693854766,0.31209486114915885,0.036973651328675125,0.46104823776899784,0.22237162643811031,0.3120948611491588,0.03687498915034639,0.46104823776899745,0.2217782398432122,14.662860200668897,20.826156521739133,39.81624080267558,14.623733155436957,20.77058305537025,39.70999332888592
1160750,0.9723420682138153,7.391280149462867,0.41307024897386274,0.41988730680096775,0.39035787253348747,0.06547805310330287,0.5244917677470441,0.20450168805397298,0.3903578725334874,0.0665586626982091,0.5244917677470451,0.20787665838085537,8.342182664941785,10.952736869340233,17.74704062095731,8.479856926819645,11.133494115326453,18.039926885396806,0.94072553045859,8.071950523864958,0.4511103009456226,0.45855514843969525,0.2852992623008419,0.015366863971621602,0.4683295585210739,0.16927964580502874,0.28529926230084174,0.015620469261704826,0.4683295585210743,0.17207333316758178,11.305937386804656,22.330711513583438,28.22044191461837,11.492523637320009,22.69924386876192,28.68617476494181
1160800,0.9673194761504266,3.1344043597068687,0.4006102613589844,0.41593078893975344,0.4094450304946941,0.11887361267043974,0.44476664420555106,0.1611088764161717,0.4094450304946942,0.12341969308127343,0.4447666442055507,0.16727015889622468,13.063526627218934,14.685060355029586,17.38212071005917,13.563114728920288,15.246660727998773,18.04686469052373,0.659958932238193,1.8730624351794234,0.23939732899334645,0.24855259468515156,0.28375079778588946,0.014248974690341053,0.3581686472067884,0.049713183183395834,0.2837507977858899,0.014793897850822635,0.35816864720678776,0.05161436312697792,11.293604733727811,17.548146745562132,22.87491124260355,11.72550575948395,18.219240055291046,23.74971586545845
1196300,0.9929030721600381,1.0020521922671015,0.08276989427521757,0.08269873857281265,0.4173256850038014,0.03585837259889459,0.3831558883463732,0.024840143143155635,0.4173256850038023,0.03582754583861312,0.3831558883463725,0.024818788544980968,3.909310898661568,4.188252390057361,4.204276864244742,3.9059501385041546,4.184651829210049,4.200662527462031,0.996851471594798,0.6015745674265311,0.049690289317067204,0.049647571521303176,0.3608772638122344,0.011618278424103155,0.394657581366114,0.01773194711105488,0.36087726381223484,0.011608290411321016,0.3946575813661137,0.017716703293689347,2.2433437858508603,3.433202294455067,4.092683747609943,2.241415225905053,3.4302508358009356,4.089165345305187
1196350,0.9856235840349061,0.955442379182156,0.07049549236664243,0.0769053675809002,0.26690384769550696,0.001993238527308514,0.35450643677890226,0.009918051907966519,0.2669038476955061,0.0021744757923218,0.3545064367789033,0.010819860987729624,2.441408710503843,4.500252092228864,6.7416348420153716,2.66339631078815,4.909442146450531,7.354624930128563,0.9991786447638604,0.6723923825181531,0.049611188599119074,0.054122136994194554,0.20207961785360992,0.0002332657609299487,0.30126063799919245,0.0038824604328478044,0.2020796178536099,0.00025447569037541313,0.30126063799919256,0.004235477144461315,4.337339026473099,5.338206660973526,6.495789581554227,4.731716042481834,5.823588596981553,7.086425936277251
1196600,0.972314380505663,4.539989351688434,0.12047146191212553,0.12162571082629396,0.28095117839213957,0.009094182403812915,0.2779281613750631,0.008369219074283826,0.28095117839213957,0.009181314659022912,0.2779281613750631,0.008449405384598341,7.959573464373465,11.92810909090909,16.92765995085995,8.035834919847447,12.04239347617128,17.089845524169792,0.9657768651608487,4.293756059532247,0.11393750723083111,0.11502915368316832,0.2719050700611988,0.008047084679113895,0.25600749393688177,0.005253456231080976,0.271905070061199,0.008124184588135287,0.2560074939368814,0.005303790111438255,8.257143980343981,14.075053562653563,19.74306339066339,8.33625648817091,14.209908033859415,19.93222362097299
1196700,0.6931970551774737,5.258378138686132,0.8770731103908914,0.8866586088651087,0.4696725787179027,0.2251525025015727,0.49986449329950033,0.27791399762059305,0.46967257871790274,0.22761318558902188,0.4998644932995,0.28095130906999805,13.22720617760618,14.655141312741314,19.49587644787645,13.37176580796253,14.815306791569085,19.708946135831383,0.9894592744695414,4.165788184836746,0.6948341682816503,0.7024279843284443,0.3489731168135377,0.04595528451352716,0.46749876078648656,0.16186218870124142,0.34897311681353815,0.04645752806012321,0.46749876078648717,0.16363117437010782,10.606183783783784,13.700905019305019,21.372324324324325,10.722098360655739,13.85064168618267,21.60590163934426
1199100,0.9541019849089248,1.2183511484988918,0.11567641673659809,0.11534685429575307,0.36741071487499477,0.018189616491475963,0.44087194960975734,0.03976943782846062,0.36741071487499494,0.018137794222269448,0.4408719496097574,0.03965613458678416,3.179235164835165,4.360066813186813,5.929698461538461,3.1701775147928997,4.347644970414201,5.9128047337278105,0.9665982203969884,1.0563391870839824,0.1002941821583034,0.10000844374759597,0.31482904378154397,0.00820247696111318,0.41656303025408303,0.03147776311357574,0.31482904378154386,0.008179108080882075,0.416563030254084,0.0313880828767851,3.1508465934065932,4.883119120879121,5.601378461538462,3.141869822485207,4.869207100591716,5.585420118343196
1234100,0.7973169717138103,2.878440067823138,0.09043535340360695,0.09841599598730474,0.9225049864357621,0.29730096018198604,0.5176569802403901,0.07181115376696111,0.9225049864357628,0.3235368581323553,0.5176569802403904,0.07814826785086808,2.4192,2.6705454545454543,2.701963636363636,2.6326869806094186,2.9062129006727346,2.9404036406806493,0.0999315537303217,2.4178082191780823,0.07596313823163138,0.08266665221091662,,,,,,,,,,,,,,
1234190,0.9263681592039801,3.460181064907166,0.07418353449329507,0.07264236277681427,0.383125741159279,0.023189353242409415,0.36492415560629166,0.018138367974219985,0.38312574115927833,0.02270759168191213,0.3649241556062908,0.017761541230981902,3.6446650124069477,3.687543424317618,3.730421836228288,3.5689466650467745,3.610934272870854,3.652921880694934,0.03627652292950034,6.433962264150943,0.13793904208998548,0.13507334215104885,,,,,,,,,,,,,,
1234500,0.860318994683422,1.3660112359550562,0.04674192902436312,0.05083708252348244,,,,,,,,,,,,,,,0.287337440109514,0.6898523106241067,0.023605243420959533,0.025673345812337534,,,,,,,,,,,,,,
1234550,0.4839650145772595,0.882803943044907,0.09256585033868928,0.0626637041398948,,,,,,,,,,,,,,,0.04996577686516085,1.83013698630137,0.19189785875781354,0.1299078504900085,,,,,,,,,,,,,,
1234700,0.7938617689705172,7.141552511415525,0.12854794520547944,0.14788374484380726,,,,,,,,,,,,,,,0.24982888432580425,6.935890410958904,0.12484602739726026,0.14362499556774266,,,,,,,,,,,,,,
1258300,1.0,0.801848076819913,0.01818364142709724,0.018880382034458083,0.24178845832499013,0.0007918687381081116,0.19059029436057695,0.00012422170163480423,0.24178845832499046,0.0008222106862680335,0.19059029436057726,0.00012898149104175312,2.4885921259842516,3.302702362204724,3.7013669291338585,2.5839472393306804,3.429251648770916,3.843191802474519,1.0,0.7484517453798769,0.01697276398971689,0.01762310753824095,,,,,,,,,,,,,,
